FEEDSTUFF,Edible_Mass,Total_Protein,Total_Energy_Lactating,Total_Energy_Gain,Total_Energy_Maintenance,Total_Fiber,EE,ASH,Ca,P,K,Cl,S,Zn ppm,Cattle,Sheep,Goat,Rabbit,Horse,Fish,Poultry
SUNFLOWER MEAL WITH HULLS,0.91,0.6006,1.0886999999999998,0.7975,1.0886999999999998,1.274,0.021840000000000002,0.0637,0.00364,0.009373000000000001,0.0091,0.2912,0.2912,0.7735,1.0,0.0,0.0,1.0,0.0,0.0,1.0
SUNFLOWER SEED HULLS,0.9,0.621,0.742,0.4,0.778,2.502,0.0198,0.027,0.0,0.00099,0.0018000000000000002,0.5670000000000001,0.5670000000000001,1.8,1.0,1.0,0.0,0.0,0.0,0.0,0.0
SUGAR CANE BAGASSE,0.91,0.0091,0.7267,0.39,0.7631,2.6845000000000003,0.0054600000000000004,0.0364,0.008190000000000001,0.002639,0.00455,0.546,0.546,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0
"TAPIOCA MEAL, CASSAVA BY-PRODUCT",0.89,0.0089,1.5764999999999998,1.3451,1.6120999999999999,0.4183,0.0071200000000000005,0.026699999999999998,0.000267,0.00044500000000000003,0.0,0.0712,0.0712,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
TIMOTHY FRESH PRE-BLOOM,0.26,0.0806,0.809,0.7336,0.809,0.4342,0.00988,0.0182,0.0010400000000000001,0.0007280000000000001,0.00494,0.0936,0.0936,0.0728,1.0,1.0,0.0,0.0,1.0,0.0,0.0
TIMOTHY HAY EARLY BLOOM,0.88,0.2904,1.1092,0.8364,1.1092,2.0416,0.023760000000000003,0.0528,0.005104,0.002288,0.01672,0.3432,0.3432,0.264,1.0,1.0,0.0,0.0,1.0,0.0,0.0
TIMOTHY HAY FULL BLOOM,0.88,0.33440000000000003,1.0715999999999999,0.7899999999999999,1.0715999999999999,2.0856,0.02288,0.044000000000000004,0.003784,0.00176,0.015840000000000003,0.35200000000000004,0.35200000000000004,0.22,1.0,1.0,0.0,0.0,1.0,0.0,0.0
TIMOTHY SILAGE,0.34,0.119,0.7906,0.6852,0.7906,0.7140000000000001,0.01156,0.023800000000000005,0.0017000000000000001,0.0009180000000000001,0.00578,0.15300000000000002,0.15300000000000002,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
TOMATOES,0.06,0.0096,0.732,0.7158,0.7325999999999999,0.012,0.0024,0.0036,8.400000000000001e-05,0.00020999999999999998,0.00252,0.0066,0.0066,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
TOMATO POMACE DRIED,0.92,0.2116,1.238,0.9712000000000001,1.238,1.518,0.09752,0.0552,0.003956,0.0054280000000000005,0.033120000000000004,0.46,0.46,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
